"OriginAirport","FlightDurationMins","DestinationAirport","Flight_Number","AirlineName","FlightDistance","TailNumber","ScheduledDepartureTime","ScheduledArrivalTime"
"Albuquerque International Sunport","292","Hartsfield-Jackson Atlanta International","1577","Delta Air Lines Inc.","1269","N687DL","2016-05-11T06:18Z","2016-05-11T11:10Z"
"Albuquerque International Sunport","285","Hartsfield-Jackson Atlanta International","2098","Delta Air Lines Inc.","1269","N542D1","2002-01-18T06:57Z","2002-01-18T11:42Z"
"Albuquerque International Sunport","297","Hartsfield-Jackson Atlanta International","1022","Delta Air Lines Inc.","1269","N553NW","2012-09-18T13:01Z","2012-09-18T17:58Z"
"Albuquerque International Sunport","292","Hartsfield-Jackson Atlanta International","1452","Delta Air Lines Inc.","1269","N960DN","2014-09-22T06:20Z","2014-09-22T11:12Z"
"Albuquerque International Sunport","282","Hartsfield-Jackson Atlanta International","2098","Delta Air Lines Inc.","1269","N942DL","1998-01-25T07:59Z","1998-01-25T12:41Z"
"Albuquerque International Sunport","301","Hartsfield-Jackson Atlanta International","602","Delta Air Lines Inc.","1269","N3764D","2002-05-21T11:26Z","2002-05-21T16:27Z"
"Albuquerque International Sunport","301","Hartsfield-Jackson Atlanta International","1452","Delta Air Lines Inc.","1269","N912DN","2014-09-11T06:19Z","2014-09-11T11:20Z"
"Albuquerque International Sunport","287","Hartsfield-Jackson Atlanta International","1784","Delta Air Lines Inc.","1269","N525US","2014-09-19T13:07Z","2014-09-19T17:54Z"
"Albuquerque International Sunport","276","Hartsfield-Jackson Atlanta International","1100","Delta Air Lines Inc.","1269","N902DE","1996-01-23T07:30Z","1996-01-23T12:06Z"
"Albuquerque International Sunport","294","Hartsfield-Jackson Atlanta International","1976","Delta Air Lines Inc.","1269","N3739P","2009-05-30T13:15Z","2009-05-30T18:09Z"
"Albuquerque International Sunport","308","Hartsfield-Jackson Atlanta International","1692","Delta Air Lines Inc.","1269","N970DL","2010-01-30T13:12Z","2010-01-30T18:20Z"
"Albuquerque International Sunport","280","Hartsfield-Jackson Atlanta International","1398","Delta Air Lines Inc.","1269","N921DL","2014-01-05T07:28Z","2014-01-05T12:08Z"
"Albuquerque International Sunport","281","Hartsfield-Jackson Atlanta International","2292","Delta Air Lines Inc.","1269","N393D1","2001-09-01T00:49Z","2001-09-01T05:30Z"
"Albuquerque International Sunport","296","Hartsfield-Jackson Atlanta International","1452","Delta Air Lines Inc.","1269","N388DA","2010-05-21T08:27Z","2010-05-21T13:23Z"
"Albuquerque International Sunport","298","Hartsfield-Jackson Atlanta International","2327","Delta Air Lines Inc.","1269","N688DL","2010-05-23T13:09Z","2010-05-23T18:07Z"
"Albuquerque International Sunport","293","Hartsfield-Jackson Atlanta International","1532","Delta Air Lines Inc.","1269","N3731T","2010-09-01T06:01Z","2010-09-01T10:54Z"
"Albuquerque International Sunport","297","Hartsfield-Jackson Atlanta International","1298","Delta Air Lines Inc.","1269","N923DL","2009-09-01T08:14Z","2009-09-01T13:11Z"
"Albuquerque International Sunport","300","Hartsfield-Jackson Atlanta International","2098","Delta Air Lines Inc.","1269","N3754A","2002-05-27T07:01Z","2002-05-27T12:01Z"
"Albuquerque International Sunport","303","Hartsfield-Jackson Atlanta International","944","Delta Air Lines Inc.","1269","N931DL","1999-05-10T14:06Z","1999-05-10T19:09Z"
"Albuquerque International Sunport","333","Hartsfield-Jackson Atlanta International","1260","Delta Air Lines Inc.","1269","N3768","2004-05-17T11:18Z","2004-05-17T16:51Z"
"Albuquerque International Sunport","307","Hartsfield-Jackson Atlanta International","1452","Delta Air Lines Inc.","1269","N553NW","2014-05-25T07:07Z","2014-05-25T12:14Z"
"Albuquerque International Sunport","301","Hartsfield-Jackson Atlanta International","1664","Delta Air Lines Inc.","1269","N915DL","2009-01-08T08:28Z","2009-01-08T13:29Z"
"Albuquerque International Sunport","286","Hartsfield-Jackson Atlanta International","1692","Delta Air Lines Inc.","1269","N909DE","2010-01-06T13:10Z","2010-01-06T17:56Z"
"Albuquerque International Sunport","294","Hartsfield-Jackson Atlanta International","1022","Delta Air Lines Inc.","1269","N901DA","2013-01-25T13:30Z","2013-01-25T18:24Z"
"Albuquerque International Sunport","285","Hartsfield-Jackson Atlanta International","2022","Delta Air Lines Inc.","1269","N939DL","1999-05-04T00:58Z","1999-05-04T05:43Z"
"Albuquerque International Sunport","335","Baltimore/Washington International Thurgood Marshall","1604","Southwest Airlines Co.","1670","N746","2003-09-09T15:25Z","2003-09-09T21:00Z"
"Albuquerque International Sunport","325","Baltimore/Washington International Thurgood Marshall","624","Southwest Airlines Co.","1670","N469WN","2013-01-20T07:09Z","2013-01-20T12:34Z"
"Albuquerque International Sunport","325","Baltimore/Washington International Thurgood Marshall","2291","Southwest Airlines Co.","1670","N404WN","2015-01-13T18:05Z","2015-01-13T23:30Z"
"Albuquerque International Sunport","335","Baltimore/Washington International Thurgood Marshall","1753","Southwest Airlines Co.","1670","N424WN","2010-01-15T10:09Z","2010-01-15T15:44Z"
"Albuquerque International Sunport","337","Baltimore/Washington International Thurgood Marshall","2846","Southwest Airlines Co.","1670","N711HK","2016-05-10T15:24Z","2016-05-10T21:01Z"
"Albuquerque International Sunport","330","Baltimore/Washington International Thurgood Marshall","3301","Southwest Airlines Co.","1670","N768SW","2015-05-07T16:05Z","2015-05-07T21:35Z"
"Albuquerque International Sunport","343","Baltimore/Washington International Thurgood Marshall","652","Southwest Airlines Co.","1670","N447WN","2014-09-23T15:27Z","2014-09-23T21:10Z"
"Albuquerque International Sunport","329","Baltimore/Washington International Thurgood Marshall","4297","Southwest Airlines Co.","1670","N708SW","2014-05-17T13:48Z","2014-05-17T19:17Z"
"Albuquerque International Sunport","393","Baltimore/Washington International Thurgood Marshall","2489","Southwest Airlines Co.","1670","N551WN","2011-09-28T15:45Z","2011-09-28T22:18Z"
"Albuquerque International Sunport","332","Baltimore/Washington International Thurgood Marshall","2291","Southwest Airlines Co.","1670","N418WN","2015-01-28T17:39Z","2015-01-28T23:11Z"
"Albuquerque International Sunport","319","Baltimore/Washington International Thurgood Marshall","1039","Southwest Airlines Co.","1670","N424WN","2010-09-07T15:16Z","2010-09-07T20:35Z"
"Albuquerque International Sunport","346","Baltimore/Washington International Thurgood Marshall","3865","Southwest Airlines Co.","1670","N927WN","2012-01-02T07:32Z","2012-01-02T13:18Z"
"Albuquerque International Sunport","345","Baltimore/Washington International Thurgood Marshall","2483","Southwest Airlines Co.","1670","N782SA","2012-05-11T15:01Z","2012-05-11T20:46Z"
"Albuquerque International Sunport","391","Baltimore/Washington International Thurgood Marshall","1604","Southwest Airlines Co.","1670","N786@@","2001-05-11T15:10Z","2001-05-11T21:41Z"
"Albuquerque International Sunport","331","Baltimore/Washington International Thurgood Marshall","2761","Southwest Airlines Co.","1670","N496WN","2009-01-09T14:29Z","2009-01-09T20:00Z"
"Albuquerque International Sunport","326","Baltimore/Washington International Thurgood Marshall","2489","Southwest Airlines Co.","1670","N277WN","2011-09-15T15:25Z","2011-09-15T20:51Z"
"Albuquerque International Sunport","313","Baltimore/Washington International Thurgood Marshall","1604","Southwest Airlines Co.","1670","N706@@","2002-01-13T15:25Z","2002-01-13T20:38Z"
"Albuquerque International Sunport","354","Baltimore/Washington International Thurgood Marshall","705","Southwest Airlines Co.","1670","N910WN","2009-09-14T08:52Z","2009-09-14T14:46Z"
"Albuquerque International Sunport","337","Baltimore/Washington International Thurgood Marshall","2483","Southwest Airlines Co.","1670","N969WN","2012-05-29T17:26Z","2012-05-29T23:03Z"
"Albuquerque International Sunport","327","Baltimore/Washington International Thurgood Marshall","1604","Southwest Airlines Co.","1670","N753","2004-01-22T15:55Z","2004-01-22T21:22Z"
"Albuquerque International Sunport","335","Baltimore/Washington International Thurgood Marshall","2964","Southwest Airlines Co.","1670","N242WN","2015-09-14T14:24Z","2015-09-14T19:59Z"
"Albuquerque International Sunport","337","Baltimore/Washington International Thurgood Marshall","1158","Southwest Airlines Co.","1670","N910WN","2013-09-18T06:29Z","2013-09-18T12:06Z"
"Albuquerque International Sunport","328","Baltimore/Washington International Thurgood Marshall","1336","Southwest Airlines Co.","1670","N8659D","2015-05-14T06:22Z","2015-05-14T11:50Z"
"Albuquerque International Sunport","345","Baltimore/Washington International Thurgood Marshall","3586","Southwest Airlines Co.","1670","N932WN","2014-05-30T14:45Z","2014-05-30T20:30Z"
"Albuquerque International Sunport","361","Baltimore/Washington International Thurgood Marshall","3301","Southwest Airlines Co.","1670","N739GB","2015-05-06T15:54Z","2015-05-06T21:55Z"
"Albuquerque International Sunport","327","Baltimore/Washington International Thurgood Marshall","409","Southwest Airlines Co.","1670","N718SW","2012-09-06T09:54Z","2012-09-06T15:21Z"
"Albuquerque International Sunport","342","Baltimore/Washington International Thurgood Marshall","2483","Southwest Airlines Co.","1670","N414WN","2012-05-02T15:00Z","2012-05-02T20:42Z"
"Albuquerque International Sunport","329","Baltimore/Washington International Thurgood Marshall","1319","Southwest Airlines Co.","1670","N237WN","2009-05-11T09:02Z","2009-05-11T14:31Z"
"Albuquerque International Sunport","335","Baltimore/Washington International Thurgood Marshall","591","Southwest Airlines Co.","1670","N296WN","2013-09-24T13:48Z","2013-09-24T19:23Z"
"Albuquerque International Sunport","341","Baltimore/Washington International Thurgood Marshall","1692","Southwest Airlines Co.","1670","N732SW","2013-05-07T07:10Z","2013-05-07T12:51Z"
"Albuquerque International Sunport","342","Baltimore/Washington International Thurgood Marshall","2356","Southwest Airlines Co.","1670","N494WN","2009-05-17T16:07Z","2009-05-17T21:49Z"
"Albuquerque International Sunport","331","Baltimore/Washington International Thurgood Marshall","1604","Southwest Airlines Co.","1670","N761","2003-09-14T15:40Z","2003-09-14T21:11Z"
"Albuquerque International Sunport","320","Baltimore/Washington International Thurgood Marshall","1604","Southwest Airlines Co.","1670","N753","2002-09-13T15:25Z","2002-09-13T20:45Z"
"Albuquerque International Sunport","337","Baltimore/Washington International Thurgood Marshall","2581","Southwest Airlines Co.","1670","N774SW","2011-01-27T11:59Z","2011-01-27T17:36Z"
"Albuquerque International Sunport","341","Baltimore/Washington International Thurgood Marshall","2060","Southwest Airlines Co.","1670","N8662F","2015-09-01T07:22Z","2015-09-01T13:03Z"
"Albuquerque International Sunport","333","Baltimore/Washington International Thurgood Marshall","310","Southwest Airlines Co.","1670","N215WN","2009-09-19T09:58Z","2009-09-19T15:31Z"
"Albuquerque International Sunport","331","Baltimore/Washington International Thurgood Marshall","1604","Southwest Airlines Co.","1670","N763@@","2001-01-18T15:15Z","2001-01-18T20:46Z"
"Albuquerque International Sunport","337","Baltimore/Washington International Thurgood Marshall","987","Southwest Airlines Co.","1670","N224WN","2010-09-17T09:56Z","2010-09-17T15:33Z"
"Albuquerque International Sunport","345","Baltimore/Washington International Thurgood Marshall","364","Southwest Airlines Co.","1670","N8322X","2016-05-05T07:02Z","2016-05-05T12:47Z"
"Albuquerque International Sunport","336","Baltimore/Washington International Thurgood Marshall","198","Southwest Airlines Co.","1670","N7712G","2016-05-28T10:53Z","2016-05-28T16:29Z"
"Albuquerque International Sunport","351","Baltimore/Washington International Thurgood Marshall","2964","Southwest Airlines Co.","1670","N7705A","2015-09-29T14:24Z","2015-09-29T20:15Z"
"Albuquerque International Sunport","388","Baltimore/Washington International Thurgood Marshall","1604","Southwest Airlines Co.","1670","N719@@","2001-09-22T14:50Z","2001-09-22T21:18Z"
"Albuquerque International Sunport","340","Baltimore/Washington International Thurgood Marshall","1319","Southwest Airlines Co.","1670","N286WN","2009-05-22T09:04Z","2009-05-22T14:44Z"
"Albuquerque International Sunport","347","Baltimore/Washington International Thurgood Marshall","2489","Southwest Airlines Co.","1670","N212WN","2011-09-20T15:27Z","2011-09-20T21:14Z"
"Albuquerque International Sunport","324","Baltimore/Washington International Thurgood Marshall","1604","Southwest Airlines Co.","1670","N725","2002-05-09T15:42Z","2002-05-09T21:06Z"
"Albuquerque International Sunport","332","Baltimore/Washington International Thurgood Marshall","1158","Southwest Airlines Co.","1670","N768SW","2013-09-22T06:35Z","2013-09-22T12:07Z"
"Albuquerque International Sunport","337","Baltimore/Washington International Thurgood Marshall","3969","Southwest Airlines Co.","1670","N280WN","2009-09-13T15:00Z","2009-09-13T20:37Z"
"Albuquerque International Sunport","336","Baltimore/Washington International Thurgood Marshall","4297","Southwest Airlines Co.","1670","N491WN","2014-05-31T14:10Z","2014-05-31T19:46Z"
"Albuquerque International Sunport","345","Baltimore/Washington International Thurgood Marshall","1151","Southwest Airlines Co.","1670","N791SW","2013-09-07T13:46Z","2013-09-07T19:31Z"
"Albuquerque International Sunport","341","Baltimore/Washington International Thurgood Marshall","1604","Southwest Airlines Co.","1670","N771","2002-09-06T15:25Z","2002-09-06T21:06Z"
"Albuquerque International Sunport","328","Baltimore/Washington International Thurgood Marshall","729","Southwest Airlines Co.","1670","N493WN","2012-09-22T07:30Z","2012-09-22T12:58Z"
"Albuquerque International Sunport","312","Baltimore/Washington International Thurgood Marshall","3567","Southwest Airlines Co.","1670","N789SW","2011-01-04T08:31Z","2011-01-04T13:43Z"
"Albuquerque International Sunport","336","Baltimore/Washington International Thurgood Marshall","1883","Southwest Airlines Co.","1670","N422WN","2012-05-09T11:00Z","2012-05-09T16:36Z"
"Albuquerque International Sunport","341","Baltimore/Washington International Thurgood Marshall","1883","Southwest Airlines Co.","1670","N221WN","2012-05-17T10:40Z","2012-05-17T16:21Z"
"Albuquerque International Sunport","327","Baltimore/Washington International Thurgood Marshall","624","Southwest Airlines Co.","1670","N468WN","2013-01-24T07:08Z","2013-01-24T12:35Z"
"Albuquerque International Sunport","332","Baltimore/Washington International Thurgood Marshall","3684","Southwest Airlines Co.","1670","N411WN","2012-09-30T10:21Z","2012-09-30T15:53Z"
"Albuquerque International Sunport","336","Baltimore/Washington International Thurgood Marshall","1247","Southwest Airlines Co.","1670","N244WN","2014-09-01T07:06Z","2014-09-01T12:42Z"
"Albuquerque International Sunport","326","Baltimore/Washington International Thurgood Marshall","721","Southwest Airlines Co.","1670","N459","2004-09-03T15:35Z","2004-09-03T21:01Z"
"Albuquerque International Sunport","217","Chicago Midway International","455","Southwest Airlines Co.","1121","N482WN","2015-01-04T17:14Z","2015-01-04T20:51Z"
"Albuquerque International Sunport","234","Chicago Midway International","586","Southwest Airlines Co.","1121","N366SW","2009-01-07T17:31Z","2009-01-07T21:25Z"
"Albuquerque International Sunport","205","Chicago Midway International","980","Southwest Airlines Co.","1121","N732SW","2009-01-26T15:49Z","2009-01-26T19:14Z"
"Albuquerque International Sunport","208","Chicago Midway International","1598","Southwest Airlines Co.","1121","N406WN","2013-05-17T15:37Z","2013-05-17T19:05Z"
"Albuquerque International Sunport","211","Chicago Midway International","998","Southwest Airlines Co.","1121","N730SW","2014-05-30T17:15Z","2014-05-30T20:46Z"
"Albuquerque International Sunport","208","Chicago Midway International","2717","Southwest Airlines Co.","1121","N259WN","2009-09-19T14:12Z","2009-09-19T17:40Z"
"Albuquerque International Sunport","210","Chicago Midway International","913","Southwest Airlines Co.","1121","N210WN","2010-09-24T07:30Z","2010-09-24T11:00Z"
"Albuquerque International Sunport","212","Chicago Midway International","1693","Southwest Airlines Co.","1121","N427WN","2010-01-18T07:16Z","2010-01-18T10:48Z"
"Albuquerque International Sunport","215","Chicago Midway International","1598","Southwest Airlines Co.","1121","N945WN","2013-05-06T15:23Z","2013-05-06T18:58Z"
"Albuquerque International Sunport","210","Chicago Midway International","1479","Southwest Airlines Co.","1121","N916WN","2011-05-19T06:09Z","2011-05-19T09:39Z"
"Albuquerque International Sunport","220","Chicago Midway International","2312","Southwest Airlines Co.","1121","N401@@","2001-09-25T10:05Z","2001-09-25T13:45Z"
"Albuquerque International Sunport","212","Chicago Midway International","1740","Southwest Airlines Co.","1121","N931WN","2011-09-06T05:57Z","2011-09-06T09:29Z"
"Albuquerque International Sunport","197","Chicago Midway International","552","Southwest Airlines Co.","1121","N746SW","2013-01-14T09:50Z","2013-01-14T13:07Z"
"Albuquerque International Sunport","213","Chicago Midway International","2991","Southwest Airlines Co.","1121","N290WN","2016-05-13T16:57Z","2016-05-13T20:30Z"
"Albuquerque International Sunport","209","Chicago Midway International","2671","Southwest Airlines Co.","1121","N201LV","2015-05-17T06:01Z","2015-05-17T09:30Z"
"Albuquerque International Sunport","222","Chicago Midway International","1786","Southwest Airlines Co.","1121","N423WN","2010-01-03T16:33Z","2010-01-03T20:15Z"
"Albuquerque International Sunport","205","Chicago Midway International","1663","Southwest Airlines Co.","1121","N629","2000-09-02T17:00Z","2000-09-02T20:25Z"
"Albuquerque International Sunport","213","Chicago Midway International","2312","Southwest Airlines Co.","1121","N729","2002-05-23T09:40Z","2002-05-23T13:13Z"
"Albuquerque International Sunport","212","Chicago Midway International","2109","Southwest Airlines Co.","1121","N508SW","2012-01-25T07:33Z","2012-01-25T11:05Z"
"Albuquerque International Sunport","210","Chicago Midway International","2269","Southwest Airlines Co.","1121","N717SA","2015-09-09T17:00Z","2015-09-09T20:30Z"
"Albuquerque International Sunport","202","Chicago Midway International","1031","Southwest Airlines Co.","1121","N776","2003-05-07T10:30Z","2003-05-07T13:52Z"
"Albuquerque International Sunport","199","Chicago Midway International","2109","Southwest Airlines Co.","1121","N478WN","2012-01-16T07:31Z","2012-01-16T10:50Z"
"Albuquerque International Sunport","219","Chicago Midway International","1013","Southwest Airlines Co.","1121","N731SA","2009-05-21T11:40Z","2009-05-21T15:19Z"
"Albuquerque International Sunport","222","Chicago Midway International","2493","Southwest Airlines Co.","1121","N7812G","2014-09-23T09:09Z","2014-09-23T12:51Z"
"Albuquerque International Sunport","212","Chicago Midway International","551","Southwest Airlines Co.","1121","N527SW","2010-05-14T15:32Z","2010-05-14T19:04Z"
"Albuquerque International Sunport","221","Chicago Midway International","1286","Southwest Airlines Co.","1121","N286WN","2011-09-10T14:44Z","2011-09-10T18:25Z"
"Albuquerque International Sunport","217","Chicago Midway International","1740","Southwest Airlines Co.","1121","N525SW","2011-09-13T06:02Z","2011-09-13T09:39Z"
"Albuquerque International Sunport","212","Chicago Midway International","786","Southwest Airlines Co.","1121","N959WN","2014-01-12T16:18Z","2014-01-12T19:50Z"
"Albuquerque International Sunport","201","Chicago Midway International","1043","Southwest Airlines Co.","1121","N427WN","2013-01-02T09:24Z","2013-01-02T12:45Z"
"Albuquerque International Sunport","217","Chicago Midway International","474","Southwest Airlines Co.","1121","N484WN","2012-05-04T05:56Z","2012-05-04T09:33Z"
"Albuquerque International Sunport","256","Chicago Midway International","225","Southwest Airlines Co.","1121","N701GS","2013-09-18T17:24Z","2013-09-18T21:40Z"
"Albuquerque International Sunport","218","Chicago Midway International","650","Southwest Airlines Co.","1121","N926WN","2011-01-07T06:41Z","2011-01-07T10:19Z"
"Albuquerque International Sunport","224","Chicago Midway International","225","Southwest Airlines Co.","1121","N714CB","2013-09-03T17:47Z","2013-09-03T21:31Z"
"Albuquerque International Sunport","225","Chicago Midway International","1740","Southwest Airlines Co.","1121","N611SW","2011-09-26T06:03Z","2011-09-26T09:48Z"
"Albuquerque International Sunport","211","Chicago Midway International","1648","Southwest Airlines Co.","1121","N268WN","2016-01-07T06:46Z","2016-01-07T10:17Z"
"Albuquerque International Sunport","211","Chicago Midway International","263","Southwest Airlines Co.","1121","N771SA","2011-05-26T13:07Z","2011-05-26T16:38Z"
"Albuquerque International Sunport","217","Chicago Midway International","3945","Southwest Airlines Co.","1121","N426WN","2009-01-31T06:59Z","2009-01-31T10:36Z"
"Albuquerque International Sunport","214","Chicago Midway International","474","Southwest Airlines Co.","1121","N498WN","2012-05-14T05:59Z","2012-05-14T09:33Z"
"Albuquerque International Sunport","231","Chicago Midway International","256","Southwest Airlines Co.","1121","N937WN","2010-01-08T06:51Z","2010-01-08T10:42Z"
"Albuquerque International Sunport","215","Chicago Midway International","136","Southwest Airlines Co.","1121","N414WN","2009-09-04T07:08Z","2009-09-04T10:43Z"
"Albuquerque International Sunport","201","Chicago Midway International","755","Southwest Airlines Co.","1121","N956WN","2014-01-31T08:51Z","2014-01-31T12:12Z"
"Albuquerque International Sunport","207","Chicago Midway International","1612","Southwest Airlines Co.","1121","N746","2003-01-24T07:55Z","2003-01-24T11:22Z"
