"AirportCode","AirportName","City","StateShorthand","StateName"
"ABQ","Albuquerque International Sunport","Albuquerque","NM","New Mexico"
"ABY","Southwest Georgia Regional","Albany","GA","Georgia"
"ALB","Albany International","Albany","NY","New York"
"ABI","Abilene Regional","Abilene","TX","Texas"
"CAK","Akron-Canton Regional","Akron","OH","Ohio"
"ATL","Hartsfield-Jackson Atlanta International","Atlanta","GA","Georgia"
"BHM","Birmingham-Shuttlesworth International","Birmingham","AL","Alabama"
"BIL","Billings Logan International","Billings","MT","Montana"
"BGM","Greater Binghamton/Edwin A. Link Field","Binghamton","NY","New York"
"RDM","Roberts Field","Bend/Redmond","OR","Oregon"
"BET","Bethel Airport","Bethel","AK","Alaska"
"BTR","Baton Rouge Metropolitan/Ryan Field","Baton Rouge","LA","Louisiana"
"BPT","Jack Brooks Regional","Beaumont/Port Arthur","TX","Texas"
"BLI","Bellingham International","Bellingham","WA","Washington"
"BJI","Bemidji Regional","Bemidji","MN","Minnesota"
"BRW","Wiley Post/Will Rogers Memorial","Barrow","AK","Alaska"
"BGR","Bangor International","Bangor","ME","Maine"
"BWI","Baltimore/Washington International Thurgood Marshall","Baltimore","MD","Maryland"
"AUS","Austin - Bergstrom International","Austin","TX","Texas"
"MDW","Chicago Midway International","Chicago","IL","Illinois"
"ORD","Chicago O'Hare International","Chicago","IL","Illinois"
"AMA","Rick Husband Amarillo International","Amarillo","TX","Texas"
"ACV","Arcata","Arcata/Eureka","CA","California"
"AGS","Augusta Regional at Bush Field","Augusta","GA","Georgia"
"ACY","Atlantic City International","Atlantic City","NJ","New Jersey"
"ANC","Ted Stevens Anchorage International","Anchorage","AK","Alaska"
"ATW","Appleton International","Appleton","WI","Wisconsin"
"ANI","Aniak Airport","Aniak","AK","Alaska"
"AVL","Asheville Regional","Asheville","NC","North Carolina"
"APN","Alpena County Regional","Alpena","MI","Michigan"
"ABE","Lehigh Valley International","Allentown/Bethlehem/Easton","PA","Pennsylvania"
"BFL","Meadows Field","Bakersfield","CA","California"
"ASE","Aspen Pitkin County Sardy Field","Aspen","CO","Colorado"
"HTS","Tri-State/Milton J. Ferguson Field","Ashland","WV","West Virginia"
"CLT","Charlotte Douglas International","Charlotte","NC","North Carolina"
"CRW","Yeager","Charleston/Dunbar","WV","West Virginia"
"CPR","Casper/Natrona County International","Casper","WY","Wyoming"
"CDC","Cedar City Regional","Cedar City","UT","Utah"
"CHS","Charleston AFB/International","Charleston","SC","South Carolina"
"CID","The Eastern Iowa","Cedar Rapids/Iowa City","IA","Iowa"
"CMI","University of Illinois/Willard","Champaign/Urbana","IL","Illinois"
"CLD","McClellan-Palomar","Carlsbad","CA","California"
"BTM","Bert Mooney","Butte","MT","Montana"
"BTV","Burlington International","Burlington","VT","Vermont"
"BUR","Bob Hope","Burbank","CA","California"
"BQN","Rafael Hernandez","Aguadilla","PR","Puerto Rico"
"ADK","Adak","Adak Island","AK","Alaska"
"ABR","Aberdeen Regional","Aberdeen","SD","South Dakota"
"AEX","Alexandria International","Alexandria","LA","Louisiana"
"TRI","Tri-Cities Regional TN/VA","Bristol/Johnson City/Kingsport","TN","Tennessee"
"BRO","Brownsville South Padre Island International","Brownsville","TX","Texas"
"BUF","Buffalo Niagara International","Buffalo","NY","New York"
"BQK","Brunswick Golden Isles","Brunswick","GA","Georgia"
"BZN","Bozeman Yellowstone International","Bozeman","MT","Montana"
"BRD","Brainerd Lakes Regional","Brainerd","MN","Minnesota"
"BKG","Branson Airport","Branson","MO","Missouri"
"BOS","Logan International","Boston","MA","Massachusetts"
"BIS","Bismarck Municipal","Bismarck/Mandan","ND","North Dakota"
"BOI","Boise Air Terminal","Boise","ID","Idaho"
"DFW","Dallas/Fort Worth International","Dallas/Fort Worth","TX","Texas"
"TYS","McGhee Tyson","Knoxville","TN","Tennessee"
"EYW","Key West International","Key West","FL","Florida"
"ILE","Skylark Field","Killeen","TX","Texas"
"MCI","Kansas City International","Kansas City","MO","Missouri"
"LMT","Klamath Falls Airport","Klamath Falls","OR","Oregon"
"GRK","Robert Gray AAF","Killeen","TX","Texas"
"AKN","King Salmon Airport","King Salmon","AK","Alaska"
"KTN","Ketchikan International","Ketchikan","AK","Alaska"
"ADQ","Kodiak Airport","Kodiak","AK","Alaska"
"LRD","Laredo International","Laredo","TX","Texas"
"LAN","Capital Region International","Lansing","MI","Michigan"
"LAR","Laramie Regional","Laramie","WY","Wyoming"
"LCH","Lake Charles Regional","Lake Charles","LA","Louisiana"
"LNY","Lanai Airport","Lanai","HI","Hawaii"
"LFT","Lafayette Regional Paul Fournet Field","Lafayette","LA","Louisiana"
"LSE","La Crosse Regional","La Crosse","WI","Wisconsin"
"KOA","Kona International Airport at Keahole","Kona","HI","Hawaii"
"OTZ","Ralph Wien Memorial","Kotzebue","AK","Alaska"
"LAS","McCarran International","Las Vegas","NV","Nevada"
"LIH","Lihue Airport","Lihue","HI","Hawaii"
"LEX","Blue Grass","Lexington","KY","Kentucky"
"LWS","Lewiston Nez Perce County","Lewiston","ID","Idaho"
"LWB","Greenbrier Valley","Lewisburg","WV","West Virginia"
"LBE","Arnold Palmer Regional","Latrobe","PA","Pennsylvania"
"LIT","Bill and Hillary Clinton Nat Adams Field","Little Rock","AR","Arkansas"
"LNK","Lincoln Airport","Lincoln","NE","Nebraska"
"GGG","East Texas Regional","Longview","TX","Texas"
"LGB","Long Beach Airport","Long Beach","CA","California"
"LAX","Los Angeles International","Los Angeles","CA","California"
"FCA","Glacier Park International","Kalispell","MT","Montana"
"IAH","George Bush Intercontinental/Houston","Houston","TX","Texas"
"HOU","William P Hobby","Houston","TX","Texas"
"OGG","Kahului Airport","Kahului","HI","Hawaii"
"AZO","Kalamazoo/Battle Creek International","Kalamazoo","MI","Michigan"
"JNU","Juneau International","Juneau","AK","Alaska"
"JAX","Jacksonville International","Jacksonville","FL","Florida"
"JMS","Jamestown Regional","Jamestown","ND","North Dakota"
"JLN","Joplin Regional","Joplin","MO","Missouri"
"OAJ","Albert J Ellis","Jacksonville/Camp Lejeune","NC","North Carolina"
"HSV","Huntsville International-Carl T Jones Field","Huntsville","AL","Alabama"
"ISP","Long Island MacArthur","Islip","NY","New York"
"JAN","Jackson Medgar Wiley Evers International","Jackson/Vicksburg","MS","Mississippi"
"JAC","Jackson Hole","Jackson","WY","Wyoming"
"IND","Indianapolis International","Indianapolis","IN","Indiana"
"ITH","Ithaca Tompkins Regional","Ithaca/Cortland","NY","New York"
"IYK","Inyokern Airport","Inyokern","CA","California"
"IMT","Ford","Iron Mountain/Kingsfd","MI","Michigan"
"INL","Falls International Einarson Field","International Falls","MN","Minnesota"
"IDA","Idaho Falls Regional","Idaho Falls","ID","Idaho"
"HYA","Barnstable Municipal-Boardman/Polando Field","Hyannis","MA","Massachusetts"
"EFD","Ellington","Houston","TX","Texas"
"SDF","Louisville International-Standiford Field","Louisville","KY","Kentucky"
"MHT","Manchester-Boston Regional","Manchester","NH","New Hampshire"
"MSN","Dane County Regional-Truax Field","Madison","WI","Wisconsin"
"MMH","Mammoth Lakes Airport","Mammoth Lakes","CA","California"
"LBB","Lubbock Preston Smith International","Lubbock","TX","Texas"
"LYH","Lynchburg Regional/Preston Glenn Field","Lynchburg","VA","Virginia"
"MCN","Middle Georgia Regional","Macon","GA","Georgia"
"MFR","Rogue Valley International - Medford","Medford","OR","Oregon"
"MQT","Sawyer International","Marquette","MI","Michigan"
"MVY","Martha's Vineyard Airport","Martha's Vineyard","MA","Massachusetts"
"MAZ","Eugenio Maria de Hostos","Mayaguez","PR","Puerto Rico"
"RSW","Southwest Florida International","Fort Myers","FL","Florida"
"MLB","Melbourne International","Melbourne","FL","Florida"
"HNL","Honolulu International","Honolulu","HI","Hawaii"
"MKK","Molokai","Hoolehua","HI","Hawaii"
"BDL","Bradley International","Hartford","CT","Connecticut"
"MEM","Memphis International","Memphis","TN","Tennessee"
"HLN","Helena Regional","Helena","MT","Montana"
"HDN","Yampa Valley","Hayden","CO","Colorado"
"GSP","Greenville-Spartanburg International","Greer","SC","South Carolina"
"GSO","Piedmont Triad International","Greensboro/High Point","NC","North Carolina"
"MSP","Minneapolis-St Paul International","Minneapolis","MN","Minnesota"
"ITO","Hilo International","Hilo","HI","Hawaii"
"HOB","Lea County Regional","Hobbs","NM","New Mexico"
"PIB","Hattiesburg-Laurel Regional","Hattiesburg/Laurel","MS","Mississippi"
"HIB","Range Regional","Hibbing","MN","Minnesota"
"LGA","LaGuardia","New York","NY","New York"
"JFK","John F. Kennedy International","New York","NY","New York"
"MSY","Louis Armstrong New Orleans International","New Orleans","LA","Louisiana"
"EWR","Newark Liberty International","Newark","NJ","New Jersey"
"ORF","Norfolk International","Norfolk","VA","Virginia"
"OME","Nome Airport","Nome","AK","Alaska"
"PHF","Newport News/Williamsburg International","Newport News/Williamsburg","VA","Virginia"
"IAG","Niagara Falls International","Niagara Falls","NY","New York"
"SWF","Stewart International","Newburgh/Poughkeepsie","NY","New York"
"OAK","Metropolitan Oakland International","Oakland","CA","California"
"OTH","Southwest Oregon Regional","North Bend/Coos Bay","OR","Oregon"
"OMA","Eppley Airfield","Omaha","NE","Nebraska"
"ONT","Ontario International","Ontario","CA","California"
"MCO","Orlando International","Orlando","FL","Florida"
"BNA","Nashville International","Nashville","TN","Tennessee"
"HVN","Tweed New Haven","New Haven","CT","Connecticut"
"EWN","Coastal Carolina Regional","New Bern/Morehead/Beaufort","NC","North Carolina"
"MRY","Monterey Regional","Monterey","CA","California"
"MYR","Myrtle Beach International","Myrtle Beach","SC","South Carolina"
"CWA","Central Wisconsin","Mosinee","WI","Wisconsin"
"MKG","Muskegon County","Muskegon","MI","Michigan"
"ACK","Nantucket Memorial","Nantucket","MA","Massachusetts"
"APF","Naples Municipal","Naples","FL","Florida"
"MTJ","Montrose Regional","Montrose/Delta","CO","Colorado"
"MOB","Mobile Regional","Mobile","AL","Alabama"
"MGM","Montgomery Regional","Montgomery","AL","Alabama"
"MWH","Grant County International","Moses Lake","WA","Washington"
"MLU","Monroe Regional","Monroe","LA","Louisiana"
"MLI","Quad City International","Moline","IL","Illinois"
"MFE","McAllen Miller International","Mission/McAllen/Edinburg","TX","Texas"
"MOD","Modesto City-County-Harry Sham Field","Modesto","CA","California"
"PNS","Pensacola International","Pensacola","FL","Florida"
"PSG","Petersburg James A Johnson","Petersburg","AK","Alaska"
"PSP","Palm Springs International","Palm Springs","CA","California"
"PIA","General Downing - Peoria International","Peoria","IL","Illinois"
"PSC","Tri Cities","Pasco/Kennewick/Richland","WA","Washington"
"PLN","Pellston Regional Airport of Emmet County","Pellston","MI","Michigan"
"PHL","Philadelphia International","Philadelphia","PA","Pennsylvania"
"ECP","Northwest Florida Beaches International","Panama City","FL","Florida"
"PFN","Bay County","Panama City","FL","Florida"
"OXR","Oxnard","Oxnard/Ventura","CA","California"
"PAH","Barkley Regional","Paducah","KY","Kentucky"
"PPG","Pago Pago International","Pago Pago","TT","U.S. Pacific Trust Territories and Possessions"
"MOT","Minot International","Minot","ND","North Dakota"
"CNY","Canyonlands Field","Moab","UT","Utah"
"MSO","Missoula International","Missoula","MT","Montana"
"MIB","Minot AFB","Minot","ND","North Dakota"
"MAF","Midland International","Midland/Odessa","TX","Texas"
"MKE","General Mitchell International","Milwaukee","WI","Wisconsin"
"MIA","Miami International","Miami","FL","Florida"
"PHX","Phoenix Sky Harbor International","Phoenix","AZ","Arizona"
"PIT","Pittsburgh International","Pittsburgh","PA","Pennsylvania"
"PDX","Portland International","Portland","OR","Oregon"
"PWM","Portland International Jetport","Portland","ME","Maine"
"PSE","Mercedita","Ponce","PR","Puerto Rico"
"AZA","Phoenix - Mesa Gateway","Phoenix","AZ","Arizona"
"PIH","Pocatello Regional","Pocatello","ID","Idaho"
"PBG","Plattsburgh International","Plattsburgh","NY","New York"
"SMF","Sacramento International","Sacramento","CA","California"
"ROA","Roanoke Blacksburg Regional Woodrum Field","Roanoke","VA","Virginia"
"RIC","Richmond International","Richmond","VA","Virginia"
"RDU","Raleigh-Durham International","Raleigh/Durham","NC","North Carolina"
"RNO","Reno/Tahoe International","Reno","NV","Nevada"
"RHI","Rhinelander/Oneida County","Rhinelander","WI","Wisconsin"
"SAN","San Diego International","San Diego","CA","California"
"SAT","San Antonio International","San Antonio","TX","Texas"
"SJT","San Angelo Regional/Mathis Field","San Angelo","TX","Texas"
"SLC","Salt Lake City International","Salt Lake City","UT","Utah"
"SFO","San Francisco International","San Francisco","CA","California"
"MBS","MBS International","Saginaw/Bay City/Midland","MI","Michigan"
"ROC","Greater Rochester International","Rochester","NY","New York"
"RKS","Rock Springs Sweetwater County","Rock Springs","WY","Wyoming"
"ROW","Roswell International Air Center","Roswell","NM","New Mexico"
"RST","Rochester International","Rochester","MN","Minnesota"
"RAP","Rapid City Regional","Rapid City","SD","South Dakota"
"RDD","Redding Municipal","Redding","CA","California"
"FSD","Joe Foss Field","Sioux Falls","SD","South Dakota"
"SEA","Seattle/Tacoma International","Seattle","WA","Washington"
"GEG","Spokane International","Spokane","WA","Washington"
"SBN","South Bend International","South Bend","IN","Indiana"
"SIT","Sitka Rocky Gutierrez","Sitka","AK","Alaska"
"SGU","St George Regional","St. George","UT","Utah"
"SGF","Springfield-Branson National","Springfield","MO","Missouri"
"SPI","Abraham Lincoln Capital","Springfield","IL","Illinois"
"UST","Northeast Florida Regional","St. Augustine","FL","Florida"
"STC","St. Cloud Regional","St. Cloud","MN","Minnesota"
"STL","Lambert-St. Louis International","St. Louis","MO","Missouri"
"SUX","Sioux Gateway/Col. Bud Day Field","Sioux City","IA","Iowa"
"SHV","Shreveport Regional","Shreveport","LA","Louisiana"
"TLH","Tallahassee International","Tallahassee","FL","Florida"
"SYR","Syracuse Hancock International","Syracuse","NY","New York"
"SUN","Friedman Memorial","Sun Valley/Hailey/Ketchum","ID","Idaho"
"SCE","University Park","State College","PA","Pennsylvania"
"KSM","St. Mary's Airport","St. Mary's","AK","Alaska"
"PIE","St Pete Clearwater International","St. Petersburg","FL","Florida"
"TPA","Tampa International","Tampa","FL","Florida"
"TUS","Tucson International","Tucson","AZ","Arizona"
"TTN","Trenton Mercer","Trenton","NJ","New Jersey"
"TVC","Cherry Capital","Traverse City","MI","Michigan"
"TOL","Toledo Express","Toledo","OH","Ohio"
"TXK","Texarkana Regional-Webb Field","Texarkana","AR","Arkansas"
"TEX","Telluride Regional","Telluride","CO","Colorado"
"ACT","Waco Regional","Waco","TX","Texas"
"VIS","Visalia Municipal","Visalia","CA","California"
"VEL","Vernal Regional","Vernal","UT","Utah"
"VCT","Victoria Regional","Victoria","TX","Texas"
"VPS","Eglin AFB Destin Fort Walton Beach","Valparaiso","FL","Florida"
"VLD","Valdosta Regional","Valdosta","GA","Georgia"
"DUT","Unalaska Airport","Unalaska","AK","Alaska"
"TYR","Tyler Pounds Regional","Tyler","TX","Texas"
"TWF","Joslin Field - Magic Valley Regional","Twin Falls","ID","Idaho"
"DCA","Ronald Reagan Washington National","Washington","VA","Virginia"
"IAD","Washington Dulles International","Washington","VA","Virginia"
"PBI","Palm Beach International","West Palm Beach/Palm Beach","FL","Florida"
"ALO","Waterloo Regional","Waterloo","IA","Iowa"
"ART","Watertown International","Watertown","NY","New York"
"ILM","Wilmington International","Wilmington","NC","North Carolina"
"ILG","New Castle","Wilmington","DE","Delaware"
"ORH","Worcester Regional","Worcester","MA","Massachusetts"
"ISN","Sloulin Field International","Williston","ND","North Dakota"
"SPS","Sheppard AFB/Wichita Falls Municipal","Wichita Falls","TX","Texas"
"HPN","Westchester County","White Plains","NY","New York"
"WRG","Wrangell Airport","Wrangell","AK","Alaska"
"YUM","Yuma MCAS/Yuma International","Yuma","AZ","Arizona"
"YAK","Yakutat Airport","Yakutat","AK","Alaska"
"WYS","Yellowstone","West Yellowstone","MT","Montana"
"AVP","Wilkes Barre Scranton International","Scranton/Wilkes-Barre","PA","Pennsylvania"
"SBA","Santa Barbara Municipal","Santa Barbara","CA","California"
"SAV","Savannah/Hilton Head International","Savannah","GA","Georgia"
"SRQ","Sarasota/Bradenton International","Sarasota/Bradenton","FL","Florida"
"CIU","Chippewa County International","Sault Ste. Marie","MI","Michigan"
"SAF","Santa Fe Municipal","Santa Fe","NM","New Mexico"
"SMX","Santa Maria Public/Capt. G. Allan Hancock Field","Santa Maria","CA","California"
"SNA","John Wayne Airport-Orange County","Santa Ana","CA","California"
"SJC","Norman Y. Mineta San Jose International","San Jose","CA","California"
"SBP","San Luis County Regional","San Luis Obispo","CA","California"
"SJU","Luis Munoz Marin International","San Juan","PR","Puerto Rico"
"DAL","Dallas Love Field","Dallas","TX","Texas"
"PVD","Theodore Francis Green State","Providence","RI","Rhode Island"
"MEI","Key Field","Meridian","MS","Mississippi"
"BMI","Central Illinois Regional","Bloomington/Normal","IL","Illinois"
"MDT","Harrisburg International","Harrisburg","PA","Pennsylvania"
"HRL","Valley International","Harlingen/San Benito","TX","Texas"
"GUC","Gunnison-Crested Butte Regional","Gunnison","CO","Colorado"
"GPT","Gulfport-Biloxi International","Gulfport/Biloxi","MS","Mississippi"
"CMX","Houghton County Memorial","Hancock/Houghton","MI","Michigan"
"GST","Gustavus Airport","Gustavus","AK","Alaska"
"GUM","Guam International","Guam","TT","U.S. Pacific Trust Territories and Possessions"
"GRR","Gerald R. Ford International","Grand Rapids","MI","Michigan"
"GRB","Austin Straubel International","Green Bay","WI","Wisconsin"
"GTF","Great Falls International","Great Falls","MT","Montana"
"GJT","Grand Junction Regional","Grand Junction","CO","Colorado"
"GFK","Grand Forks International","Grand Forks","ND","North Dakota"
"GNV","Gainesville Regional","Gainesville","FL","Florida"
"GCC","Gillette Campbell County","Gillette","WY","Wyoming"
"FAT","Fresno Yosemite International","Fresno","CA","California"
"FWA","Fort Wayne International","Fort Wayne","IN","Indiana"
"FSM","Fort Smith Regional","Fort Smith","AR","Arkansas"
"GRI","Central Nebraska Regional","Grand Island","NE","Nebraska"
"FLL","Fort Lauderdale-Hollywood International","Fort Lauderdale","FL","Florida"
"FAR","Hector International","Fargo","ND","North Dakota"
"FAI","Fairbanks International","Fairbanks","AK","Alaska"
"EVV","Evansville Regional","Evansville","IN","Indiana"
"XNA","Northwest Arkansas Regional","Fayetteville","AR","Arkansas"
"FAY","Fayetteville Regional/Grannis Field","Fayetteville","NC","North Carolina"
"FLG","Flagstaff Pulliam","Flagstaff","AZ","Arizona"
"DLH","Duluth International","Duluth","MN","Minnesota"
"EUG","Mahlon Sweet Field","Eugene","OR","Oregon"
"ELM","Elmira/Corning Regional","Elmira/Corning","NY","New York"
"ERI","Erie International/Tom Ridge Field","Erie","PA","Pennsylvania"
"ESC","Delta County","Escanaba","MI","Michigan"
"EKO","Elko Regional","Elko","NV","Nevada"
"ELP","El Paso International","El Paso","TX","Texas"
"DTW","Detroit Metro Wayne County","Detroit","MI","Michigan"
"DRO","Durango La Plata County","Durango","CO","Colorado"
"EAU","Chippewa Valley Regional","Eau Claire","WI","Wisconsin"
"IPL","Imperial County","El Centro","CA","California"
"EGE","Eagle County Regional","Eagle","CO","Colorado"
"DBQ","Dubuque Regional","Dubuque","IA","Iowa"
"DHN","Dothan Regional","Dothan","AL","Alabama"
"DVL","Devils Lake Regional","Devils Lake","ND","North Dakota"
"DIK","Dickinson - Theodore Roosevelt Regional","Dickinson","ND","North Dakota"
"DLG","Dillingham Airport","Dillingham","AK","Alaska"
"STX","Henry E. Rohlsen","Christiansted","VI","U.S. Virgin Islands"
"CIC","Chico Municipal","Chico","CA","California"
"CVG","Cincinnati/Northern Kentucky International","Cincinnati","KY","Kentucky"
"CLE","Cleveland-Hopkins International","Cleveland","OH","Ohio"
"CHA","Lovell Field","Chattanooga","TN","Tennessee"
"CYS","Cheyenne Regional/Jerry Olson Field","Cheyenne","WY","Wyoming"
"CHO","Charlottesville Albemarle","Charlottesville","VA","Virginia"
"STT","Cyril E King","Charlotte Amalie","VI","U.S. Virgin Islands"
"COS","City of Colorado Springs Municipal","Colorado Springs","CO","Colorado"
"CLL","Easterwood Field","College Station/Bryan","TX","Texas"
"COD","Yellowstone Regional","Cody","WY","Wyoming"
"FNT","Bishop International","Flint","MI","Michigan"
"FLO","Florence Regional","Florence","SC","South Carolina"
"CMH","Port Columbus International","Columbus","OH","Ohio"
"CSG","Columbus Airport","Columbus","GA","Georgia"
"GTR","Golden Triangle Regional","Columbus","MS","Mississippi"
"DAY","James M Cox/Dayton International","Dayton","OH","Ohio"
"CDV","Merle K Mudhole Smith","Cordova","AK","Alaska"
"DEN","Denver International","Denver","CO","Colorado"
"DSM","Des Moines International","Des Moines","IA","Iowa"
"CRP","Corpus Christi International","Corpus Christi","TX","Texas"
"CEC","Jack McNamara Field","Crescent City","CA","California"
"PUB","Pueblo Memorial","Pueblo","CO","Colorado"
"DAB","Daytona Beach International","Daytona Beach","FL","Florida"
"SCC","Deadhorse Airport","Deadhorse","AK","Alaska"
"DRT","Del Rio International","Del Rio","TX","Texas"
"COU","Columbia Regional","Columbia","MO","Missouri"
"CAE","Columbia Metropolitan","Columbia","SC","South Carolina"
"UTM","Tunica Municipal","Tunica","MS","Mississippi"
"SPN","Francisco C. Ada Saipan International","Saipan","TT","U.S. Pacific Trust Territories and Possessions"
"SHD","Shenandoah Valley Regional","Staunton","VA","Virginia"
"RFD","Chicago/Rockford International","Rockford","IL","Illinois"
